id	url	title	abstract
8f59e99f4c2cbaa81c13046d5608ebc8	https://www.biorxiv.org/content/10.1101/2020.06.09.143438v1	"Potent synthetic nanobodies against SARS-CoV-2 and molecular basis for neutralization"	"SARS-CoV-2, the Covid-19 causative virus, adheres to human cells through binding of its envelope Spike protein to the receptor ACE2. The Spike receptor-binding domain (S-RBD) mediates this key event and thus is a primary target for therapeutic neutralizing antibodies to mask the ACE2-interacting interface. Here, we generated 99 synthetic nanobodies (sybodies) using ribosome and phage display. The best sybody MR3 binds the RBD with K D of 1.0 nM and neutralizes SARS-CoV-2 pseudovirus with IC50 of 0.40 \u03bcg mL-1. Crystal structures of two sybody-RBD complexes reveal a common neutralizing mechanism through which the RBD-ACE2 interaction is competitively inhibited by sybodies. The structures allowed the rational design of a mutant with higher affinity and improved neutralization efficiency by \u223c24-folds, lowering the IC50 from 12.32 to 0.50 \u03bcg mL-1. Further, the structures explain the selectivity of sybodies between SARS-CoV strains. Our work presents an alternative approach to generate neutralizers against newly emerged viruses.\n\nOne sentence summary Structural and biochemical studies revealed the molecular basis for the neutralization mechanism of in vitro -selected and rationally designed nanobody neutralizers for SARS-CoV-2 pseudovirus.\n\n### Competing Interest Statement\n\nThe authors have declared no competing interest."
f37841a42bb396017befc7bd782b3246	https://www.biorxiv.org/content/10.1101/2020.04.16.045419v2	"Sybodies targeting the SARS-CoV-2 receptor-binding domain"	"The COVID-19 pandemic, caused by the novel coronavirus SARS-CoV-2, has resulted in a global health and economic crisis of unprecedented scale. The high transmissibility of SARS-CoV-2, combined with a lack of population immunity and prevalence of severe clinical outcomes, urges the rapid development of effective therapeutic countermeasures. Here, we report the generation of synthetic nanobodies, known as sybodies, against the receptor-binding domain (RBD) of SARS-CoV-2. In an expeditious process taking only twelve working days, sybodies were selected entirely in vitro from three large combinatorial libraries, using ribosome and phage display. We obtained six strongly enriched sybody pools against the isolated RBD and identified 63 unique anti-RBD sybodies which also interact in the context of the full-length SARS-CoV-2 spike ectodomain. Among the selected sybodies, six were found to bind to the viral spike with double-digit nanomolar affinity, and five of these also showed substantial inhibition of RBD interaction with human angiotensin-converting enzyme 2 (ACE2). Additionally, we identified a pair of anti-RBD sybodies that can simultaneously bind to the RBD. It is anticipated that compact binders such as these sybodies could feasibly be developed into an inhalable drug that can be used as a convenient prophylaxis against COVID-19. Moreover, generation of polyvalent antivirals, via fusion of anti-RBD sybodies to additional small binders recognizing secondary epitopes, could enhance the therapeutic potential and guard against escape mutants. We present full sequence information and detailed protocols for the identified sybodies, as a freely accessible resource.\n\n### Competing Interest Statement\n\nIwan Zimmermann, Pascal Egloff and Markus A. Seeger are founders and shareholders of Linkster Therapeutics AG."
8eec309d3ecc253880848cd133856ff9	https://patents.google.com/patent/CN112094342A/en	"Alpaca source nano antibody combined with SARS-CoV-2RBD \n     "	"\n     The present disclosure relates to alpaca-derived antibodies or antigen-binding fragments thereof that bind to SARS-CoV-2RBD, and in particular, to alpaca-derived nanobodies or dual epitope-specific antibodies or antigen-binding fragments thereof consisting of the same that can bind to the receptor-binding Region (RBD) of the novel coronavirus (SARS-CoV-2) with high affinity, which can be used for the prevention, treatment and/or diagnosis of SARS-CoV-2 infection. \n     \n   "
60f354b0e1d30d9eb94fade4cfd0a074	https://patentimages.storage.googleapis.com/64/4a/88/b2848f579117cb/CN106380517B.pdf	""	""
3317f8378b4ed879278e184fd59d9e10	http://doi.org/10.1021/acs.analchem.7b01221	"Comparison of Three Antihapten VHH Selection Strategies for the Development of Highly Sensitive Immunoassays for Microcystins"	"Owing to their reproducibility, stability, and cost-effective production, the recombinant variable domains of heavy-chain-only antibodies (VHHs) are becoming a salient option as immunoassay reagent..."
fb587a796f844d1cd80fc64472ed34df	https://www.nature.com/articles/s41467-020-18387-8	"Humanized single domain antibodies neutralize SARS-CoV-2 by targeting the spike receptor binding domain"	"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) spreads worldwide and leads to an unprecedented medical burden and lives lost. Neutralizing antibodies provide efficient blockade for viral infection and are a promising category of biological therapies. Here, using SARS-CoV-2 spike receptor-binding domain (RBD) as a bait, we generate a panel of humanized single domain antibodies (sdAbs) from a synthetic library. These sdAbs reveal binding kinetics with the equilibrium dissociation constant (KD) of 0.99\u201335.5\u2009nM. The monomeric sdAbs show half maximal neutralization concentration (EC50) of 0.0009\u20130.07\u2009\u00b5g/mL and 0.13\u20130.51\u2009\u00b5g/mL against SARS-CoV-2 pseudotypes, and authentic SARS-CoV-2, respectively. Competitive ligand-binding experiments suggest that the sdAbs either completely block or significantly inhibit the association between SARS-CoV-2 RBD and viral entry receptor ACE2. Fusion of the human IgG1 Fc to sdAbs improve their neutralization activity by up to ten times. These results support neutralizing sdAbs as a potential alternative for antiviral therapies. Here, using a humanized phage display library with recombinant SARS- CoV-2 receptor binding domain (RBD) proteins, the authors identify a number of single domain antibodies (sdAbs) that neutralize SARS-CoV-2 in vitro by inhibiting the interaction of the RDB with the host entry receptor ACE2."
c2a833f2b1d02de8e8f8d34865752591	https://www.biorxiv.org/content/10.1101/2020.12.09.417741v1	"Characterization of protease activity of Nsp3 from SARS-CoV-2 and its in vitro inhibition by nanobodies"	"Of the 16 non-structural proteins (Nsps) encoded by SARS CoV-2, Nsp3 is the largest and plays important roles in the viral life cycle. Being a large, multidomain, transmembrane protein, Nsp3 has been the most challenging Nsp to characterize. Encoded within Nsp3 is the papain-like protease PLpro domain that cleaves not only the viral protein but also polyubiquitin and the ubiquitin-like modifier ISG15 from host cells. We here compare the interactors of PLpro and Nsp3 and find a largely overlapping interactome. Intriguingly, we find that near full length Nsp3 is a more active protease compared to the minimal catalytic domain of PLpro. Using a MALDI-TOF based assay, we screen 1971 approved clinical compounds and identify five compounds that inhibit PLpro with IC50s in the low micromolar range but showed cross reactivity with other human deubiquitinases and had no significant antiviral activity in cellular SARS-CoV-2 infection assays. We therefore looked for alternative methods to block PLpro activity and engineered competitive nanobodies that bind to PLpro at the substrate binding site with nanomolar affinity thus inhibiting the enzyme. Our work highlights the importance of studying Nsp3 and provides tools and valuable insights to investigate Nsp3 biology during the viral infection cycle.\n\n### Competing Interest Statement\n\nThe authors have declared no competing interest."
58e948806573e43a6bfcac8a9c9f9f42	https://patents.google.com/patent/CN112062838A/en	"Neutralizing single-domain antibody for resisting novel coronavirus SARS-Cov-2 and application thereof \n       "	"\n     The invention relates to a neutralizing single-domain antibody for resisting novel coronavirus SARS-Cov-2 and application thereof. The antibody has at least one of a heavy chain CDR1, a heavy chain CDR2, and a heavy chain CDR 3. The antibody can be used for preparing a diagnostic reagent or a diagnostic kit, an antibody medicament or a pharmaceutical composition aiming at COVID-19. The invention obtains SARS-CoV-2 specificity fully human monoclonal single-domain antibody by phage display technology, has SARS-Cov-2 pseudovirus neutralization effect, and has synergistic neutralization effect on D614G mutant pseudovirus by combining with IgG type SARS-CoV-2 neutralizing antibody 4A 3; this provides an effective alternative antibody drug for the prevention and treatment of COVID-19. \n   \n   "
1bf9b8040d72cb17f8483c05c203e270	https://patents.google.com/patent/CN112062840A/en	"Nano antibody based on novel coronavirus S protein and application thereof \n     "	"\n     The invention belongs to the technical field of biological medicines, and particularly relates to a nano antibody based on a novel coronavirus S protein and application thereof. According to the invention, a nano antibody for the 2019 novel coronavirus is obtained by screening by using a nano antibody library and taking the Spike S1+ S2 ECD of the 2019 novel coronavirus as a target spot, and through ELISA detection, the nano antibody not only can specifically identify the Spike S1+ S2 ECD target spot of the 2019 novel coronavirus, but also can identify a Spike RBD target spot, and has a strong binding signal. Constructing a corresponding antibody sequence into a prokaryotic expression vector for expression and purification, successfully expressing a target antibody, wherein the purity of the purified target antibody is more than 90%; and VHH antibody ELISA detection shows that the purified nano antibody has higher affinity to both targets. \n     \n   "
a90cf7747f257a84094d714a6377d4fb	https://patents.google.com/patent/CN111875700A/en	"Single-chain antibody of anti SARS-COV-2 virus N protein and its use \n     "	"\n     The invention provides a single-chain antibody for resisting SARS-COV-2 virus N protein, the single-chain antibody can identify SARS-COV-2 virus N protein, the single-chain antibody includes heavy chain variable region and light chain variable region: the heavy chain variable region has the sequence shown in SEQ ID NO: 1-SEQ ID NO: 3, and three complementarity determining regions of the amino acid sequence set forth in seq id no; the light chain variable region has the sequence shown in SEQ ID NO: 4-SEQ ID NO: 6, and (b) three complementarity determining regions of the amino acid sequence set forth in figure 6. The EC50 of the single-chain antibody bound to the N protein is 1.339 ng/ml. The antibody can be used for quality control antibodies of a new crown antibody detection kit, the specificity of the antibody detected by a colloidal gold kit is good, and the concentration of the detected antibody is as low as 125 ng/ml. \n     \n   "
